K,Silhouette,Davies_Bouldin,Calinski_Harabasz
2,0.3631595365131828,1.0260016500193199,4151.837885290486
3,0.28074360772633444,1.196048495834942,3408.8717137614117
4,0.26689185631299484,1.2143997598994647,2907.049917000489
5,0.24309887404997765,1.2084865010157224,2655.626352720283
6,0.24202241512940928,1.219770360001248,2437.7951248742916
7,0.22704051291547342,1.2403849232395685,2287.128870748671
8,0.22619431001498724,1.232398130620655,2148.2390252116425
9,0.22185707133911206,1.2072248210557217,2033.4211291956574
10,0.21556806628376787,1.2359374390495799,1936.6359653157645
